,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,area,INDEX
03229610,,,,3009.9149559969314,1567.078242591789,1927.0105059616126,5117.8290172879915,1971.3942145686897,3094.208797333802,2523.711388227119,3008.243166486508,2186.8464970895698,2935.180680185758,3898.2930016222163,3755.9334985934593,3126.3460394917997,2464.3218391273003,2998.630011340231,2124.369596838657,2385.025848224487,5879.026,0
03229500,745.4808822989968,504.5282629916024,587.2734969301604,711.7643509370087,373.3772482099483,391.5049910817358,1078.809541233861,387.76327403753595,653.9335407235513,713.1265329586224,733.929772285809,479.50753377479873,582.8395914289158,948.3541608191817,806.6731057030913,736.1765789156636,597.6946805324361,744.158858888321,479.18592396894985,497.58352155930464,1424.002,1
03228805,155.53143331769857,107.19740457073492,107.388823784596,157.40997270820768,83.32798578865906,34.434349339027776,233.92819292219468,33.85612446533446,144.46258409996665,128.28659747693814,143.5218089717964,97.72130322043849,161.83373224074228,206.02963622239173,196.30584256689954,160.4372617956713,138.93605587543303,170.18046748991674,114.27084863065943,119.5413487807292,325.5012,2
03228750,91.77507448284338,63.77779198942196,63.29269416718925,,,,126.71057964802006,46.031366029854745,91.54751012933244,85.80457226090806,,60.642702963637944,95.82015273021791,123.42401607844639,117.54850656990209,93.00684687984968,84.02355665574747,98.77697043789715,65.89585514495366,73.23333021428967,169.9686,3
03228500,302.7280325590629,170.6725630335517,247.84600952948182,291.83577087559627,145.53600154562608,192.37504976907152,347.3576489533011,205.15600870159182,250.27750563136317,288.71372840642863,257.1895065685602,235.25446242961226,210.24085967132694,375.1893813874065,342.88360513142135,263.370135864355,229.2181553208676,328.5338535566106,188.92585926642846,252.72165101817257,490.9968,4
03228300,89.04956932293051,98.04306064313299,127.04918859212869,137.15910714547084,,,,85.15118603630039,161.03020499436292,136.84433021184074,,93.84799230273742,131.96692664345983,186.5520001409636,160.3534827168686,160.71376473326538,138.0456979313374,150.67610673646595,115.91139621096251,120.4433029813946,262.8486,5
03227500,2511.0494118773545,1967.0151795863521,2146.728840072283,2332.4178923584545,1085.969855738627,1428.730707698099,4003.1045119879095,1515.275026088144,2439.6515121990824,1699.872036926742,2108.0749807805223,1512.4860478179987,2178.107993845543,2651.080089112792,2625.297959745646,2141.938188415687,1638.329469129302,1970.4272735771767,1485.3345987027312,1601.8767713068014,4205.12,6
03220000,,187.41085570776255,258.09407913348133,254.72071098189505,,177.44656535884687,484.1005517937356,149.19507272394387,266.9591853269345,213.9254541413969,259.84264213430225,168.92811656014084,236.42821244769303,339.627119590232,291.7535014402201,229.47588386431647,181.0697711475655,228.4393893484125,152.64356132283334,179.34329868087246,463.9194,7
03221000,1545.8904263198172,1111.4308700570305,1268.5311132618622,1387.7052808767903,584.9735546463555,657.2507886374101,2239.892486102839,845.1040230772397,1358.769610631328,941.0868158085555,1223.4930630831843,805.4118426049191,1227.016967281603,1503.8349847793,1571.7832259772383,1127.4057806871056,862.5182431565589,1034.567944904667,839.771895792152,1011.8477807365739,2549.06,8
03219500,844.1449996243824,675.6155118266855,798.9495424772599,854.84925995671,351.30539734822344,446.1556677869946,1515.26537787629,510.3694657278444,843.9601337354196,516.9054789980357,815.1759475192314,440.31239504915095,697.4216594079726,834.3988446218704,885.0834248727996,636.2520339290676,485.27804893785986,565.956680322324,420.35691056635443,525.3588842873363,1469.508,9
03226800,743.2145026801668,568.1761064425771,701.7588955872204,738.7635604950334,409.01518319011586,433.89936672343475,1143.8597146090842,483.0662656905837,886.8357989143466,613.3380479244017,666.8436771416079,487.45641600114163,648.2817221514132,800.8455867277779,844.9883261439974,702.3380909954858,569.4896553703246,608.6796582075847,508.4137743240586,,1278.311,10
03225500,536.8247796248118,488.37844129584863,512.0224468809461,532.7530795918524,282.55424976435637,286.9123967699697,777.0657046215151,365.79252946329035,655.4826542584872,396.69337945083987,461.4888698271092,343.76003070942085,525.6115602976126,592.9858495880485,655.2690772585499,524.9360874736362,431.72917311761387,467.18684798684296,385.4580622146119,420.01815422392895,1019.562,11
03223425,,,49.869181381903765,51.76254007081,,31.984163245873468,78.15008037132075,45.450894331483916,79.3876713675895,,47.01988093109249,38.83660080946393,50.778010687233326,57.34243601045197,61.2566158355699,51.817175356043954,38.48355135780914,48.52080773093984,41.08087439186521,36.5479398735041,98.2692,12
