name,INDEX,area,sf_mean,sf_month_1,sf_month_2,sf_month_3,sf_month_4,sf_month_5,sf_month_6,sf_month_7,sf_month_8,sf_month_9,sf_month_10,sf_month_11,sf_month_12
03229610,0,5879.026,2818.656627797979,3948.2132160183205,4308.501474352743,5258.962041000225,4045.1087719298243,3644.0056686784365,3022.6424536860895,2167.569732351863,895.9683904804873,864.3013622054194,1042.986033971421,2134.6901384475714,2800.077055193293
03229500,1,1424.002,580.9995697211438,940.2595285187363,798.4013735412578,1032.8591048536193,818.6815273562464,673.5693981160139,592.8633991868757,504.9177254200219,273.0262200768397,217.41614145069,270.9280979565489,391.5782815071094,584.3585257389274
03228805,2,325.5012,125.74137109967869,200.47670469980983,178.43416674506113,243.3359341745531,110.7754563220637,168.683447436901,122.59296970493527,94.45476531914893,27.981680615384615,27.496190426224004,89.1101102847885,130.95351775759056,130.82174842349818
03228750,3,169.9686,87.7129395601418,188.11673834222984,167.4584094635746,149.26543167701865,136.95212762937518,98.29476784249385,95.24569653713984,54.97234005934718,16.68023546989392,18.135611901997923,23.594077942948974,69.45926876610555,99.36732310808854
03228500,4,490.9968,244.40213964201104,282.4632298913468,297.5806335913233,399.2221429935698,405.249167988659,301.05465344606546,265.99008492463145,212.18060007364832,162.0300364011311,144.47029596127905,131.9678049962927,159.44326469005918,208.24144046218674
03228300,5,262.8486,125.08124546066207,287.76078229300856,236.94716744881856,241.2507843704015,203.76745997906895,148.82381986899566,124.88217450833956,76.027098188265,21.50825080510424,20.45473767130139,39.27166700670883,84.58597818059316,156.59382046499664
03227500,6,4205.12,1924.5366222977514,3278.40284952961,2735.9711916807196,3662.757581034354,2914.6004238045393,2423.516143636667,1865.8230447804456,1399.6919105806573,583.9657184743799,502.81939676555214,683.6437980931015,1342.6982084809972,2164.466492624322
03220000,7,463.9194,216.62805500040818,420.57327827967936,430.1035636827557,380.5306269844039,338.3854628645851,224.29665966976845,222.86081366122073,154.86543659908784,42.69879579240199,33.20308819999314,55.61659048021863,175.14367427114203,278.3860035500989
03221000,8,2549.06,1062.6778127339123,1762.565066446664,1648.1651508299035,2002.9265409513087,1691.3773554123502,1318.2837868088484,1061.587808491818,786.820928153273,260.7613144688567,194.89512681538525,335.5945213366009,685.1415911298154,1085.8491396480092
03219500,9,1469.508,657.8891248707048,1258.5476869900726,1145.7507605656965,1159.6565624195257,976.7423482473639,781.1700351129421,672.8018872824864,463.49219263143374,156.87761152286393,151.82713738207548,237.70887046749002,456.76271211848655,756.8558016650794
03226800,10,1278.311,642.3141169075548,1162.9481306474343,941.9364338071969,1198.1902359213748,896.5708231069902,783.8466890062581,645.1002275427214,445.4205322081026,134.08110846961074,128.8343312409464,188.21356246527137,549.450756815009,698.181506249696
03225500,11,1019.562,448.6656586753518,737.9061561110443,643.4534617226517,844.8074309559939,657.726056949807,525.1619628566192,414.87834864229603,379.0131462197393,102.24403112912138,61.91478584001565,124.67766813826096,400.98474354012865,495.04577997204296
03223425,12,98.2692,47.12964732447726,109.91253096947935,91.94739512993657,85.98808328312245,76.05726727921521,56.27894193502081,47.23663960917883,25.44321340331641,9.627214649184712,8.718613713746054,14.539826878112013,32.336741715660075,60.816304998121005
